ID,User Story,well_formed.no_role,well_formed.no_means,atomic.conjunctions,minimal.punctuation,minimal.brackets,minimal.indicator_repetition,unique.identical,uniform.uniform
1,"As a user, I want to search and discover music using content identification or fingerprinting.",0,0,1,0,0,0,0,0
2,"As a user, I want to search and discover music based on my profile.",0,0,1,0,0,0,0,0
3,"As a user, I want to search and discover music based on other users similar to myself.",0,0,1,0,0,0,0,0
4,"As a user, I want to search and discover music or ringback tones similar to a given music video based on content similarity.",0,0,1,0,0,0,0,0
5,"As a user, I want to search and discover music by exploiting enriched metadata and image tags, so that I find related artists, new genre, or other relevant listening path.",0,0,1,0,0,0,0,0
6,"As a user, I want to upload tagged videos and have tags available for all further processing steps.",0,0,1,0,0,0,0,0
7,"As a user, I want to view thumbnail sequences of video segments.",0,0,0,0,0,0,0,0
8,"As a user, I want to get info about similar video items and segments.",0,0,0,0,0,0,0,0
9,"As a user, I want to get info about perceptually similar video items and segments.",0,0,0,0,0,0,0,0
10,"As a user, I want to receive content recommendations from similar profiles.",0,0,0,0,0,0,0,0
11,"As a user, I want to receive content recommendations based on most relevant news events in my area.",0,0,0,0,0,0,0,0
12,"As a user, I want to identify persons in videos, and receive related information about them.",0,0,0,0,0,0,0,0
13,"As a user, I want to identify products in videos, and receive related information about them.",0,0,0,0,0,0,0,0
14,"As a user, I want to identify broadcaster logos in videos, and receive related information about them.",0,0,0,0,0,0,0,0
15,"As a user, I want to identify brands in videos, and receive related information about them.",0,0,0,0,0,0,0,0
16,"As a user, I want to identify brands in videos, and receive related information about them.",0,0,0,0,0,0,0,0
17,"As a user, I want to walk around, access content using a geographical map and be informed if there are videos covering the area, monuments or any other relevant point of interest.",0,0,1,0,0,0,0,0
18,"As a user, I want to search content items using automatic speech recognition.",0,0,0,0,0,0,0,0
19,"As an admin, I want to see, validate and edit segmentation of videos.",0,0,1,0,0,0,0,0
20,"As an admin, I want to annotate news video segments and extract a topic for each segment.",0,0,0,0,0,0,0,0
21,"As an admin, I want to filter and rank videos based on A/V quality aspects.",0,0,0,0,0,0,0,0
22,"As an admin, I want to get a quick assessment of whether audio material has been edited before the upload.",0,0,0,0,0,0,0,0
23,"As an admin, I want to prefilter nudity content.",0,0,0,0,0,0,0,0
24,"As an admin, I want to prefilter content using search based on low level asset information.",0,0,0,0,0,0,0,0
25,"As an admin, I want to automatically validated the ingested contents for copyright infringement.",0,0,0,0,0,0,0,0
26,"As an admin, I want to prefilter the content using search on high level asset information such as metadata and tags either recognized by the system of provided by the user.",0,0,0,0,0,0,0,0
27,"As a Zooniverse admin, I want to assess how interesting or appealing or complex a picture is based on automated analysis, citizen annotations, and comments on Talk.",0,0,1,0,0,0,0,0
28,"As a Zooniverse admin, I want to detect when a scientist should be prompted to look at a subject, based on annotations and information from Talk comments.",0,0,0,0,0,0,0,0
29,"As a Zooniverse admin, I want to identify volunteer types.",0,0,0,0,0,0,0,0
30,"As a Zooniverse admin, I want to preclassify the Galaxy Zoo images using simple low level image features.",0,0,0,0,0,0,0,0
31,"As a Zooniverse admin, I want to automatically detect Snapshot Serengeti images with no classifiable animals in them.",0,0,0,0,0,0,0,0
32,"As a Zooniverse admin, I want to perform automatic image series detection for the case of timestamping malfunction in Snapshot Serengeti images.",0,0,0,0,0,0,0,0
33,"As a Zooniverse admin, I want to perform automatic animal species preclassification in Snapshot Serengeti.",0,0,0,0,0,0,0,0
34,"As a Zooniverse admin, I want to perform automatic animal attribute preclassification in Snapshot Serengeti.",0,0,0,0,0,0,0,0
35,"As a Zooniverse admin, I want to perform automatic animal number detection in Snapshot Serengeti.",0,0,0,0,0,0,0,0
36,"As a Zooniverse admin, I want to perform automatic segmentation or localization of plankton in Plankton Portal.",0,0,1,0,0,0,0,0
37,"As a Zooniverse admin, I want to automatically detect Plankton Portal images with no classifiable plankton in them.",0,0,0,0,0,0,0,1
38,"As a Zooniverse admin, I want to perform automatic detection of plankton size or orientation in Plankton Portal images.",0,0,0,0,0,0,0,0
39,"As a Zooniverse admin, I want to perform automatic preclassification of plankton species in Plankton Portal images.",0,0,0,0,0,0,0,0
40,"As a Zooniverse admin, I want to perform automatic worm motion analysis to reduce video duration in Worm Watch Lab.",0,0,0,0,0,0,0,0
41,"As a Zooniverse admin, I want to automatically detect the time in a Worm Watch Lab video where the worm lays an egg.",0,0,0,0,0,0,0,0
42,"As a Zooniverse admin, I want to detect important features such as areas of flooding, damage, temporary shelters, blocked roads etc in the satellite images.",0,0,0,0,0,0,0,0
43,"As a Zooniverse admin, I want to assess the probability/weight of a volunteers classification based on their experience.",0,0,1,0,0,0,0,0
44,"As a Zooniverse admin, I want to perform prefiltering of the images to remove artefacts such as bright stars and camera read errors.",0,0,0,0,0,0,0,0
45,"As a Zooniverse admin, I want to detect moving and transient objects in the images.",0,0,0,0,0,0,0,0
46,"As a Zooniverse admin, I want to remove background noise and distracting sounds from the audio files.",0,0,1,0,0,0,0,0
47,"As a Zooniverse admin, I want to group whale calls that are similar.",0,0,0,0,0,0,0,0
48,"As a Zooniverse admin, I want to identify the number of whales heard in a single audio file.",0,0,0,0,0,0,0,0
49,"As a Zooniverse admin, I want to know when I should interrupt a volunteer.",0,0,0,0,0,0,0,0
50,"As a Zooniverse admin, I want to know whether I should interrupt a volunteer with text, an image, or a video.",0,0,0,0,0,0,0,0
51,"As a Zooniverse admin, I want to know when I should educate a volunteer.",0,0,0,0,0,0,0,0
52,"As a Zooniverse admin, I want to know whether I should educate a volunteer with text, an image, or a video.",0,0,0,0,0,0,0,1
53,"As a Zooniverse admin,I want to know which piece of education I should give to a volunteer.",0,0,0,0,0,0,0,0
54,"As a Zooniverse admin, I want to know when a volunteer has made an interesting comment on a subject.",0,0,0,0,0,0,0,0
55,"As a Zooniverse admin, I want to know when Zoonibot should comment on a subject.",0,0,0,0,0,0,0,0
56,"As a Zooniverse admin, I want to know when Zoonibot should give an explanation.",0,0,0,0,0,0,0,0
57,"As a Zooniverse admin, I want to know what Zoonibot should say to a volunteer.",0,0,0,0,0,0,0,0
58,"As a Zooniverse admin, I want to group subjects by similarity.",0,0,0,0,0,0,0,0
59,"As a Zooniverse admin, I want to recommend different projects to volunteers based on their previous experiences.",0,0,0,0,0,0,0,0
60,"As an admin, I want to see a summary of articles, so that I reuse them.",0,0,0,0,0,0,0,0
